"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"143","077970","STX엔진","KOSPI","기계",7960,930,13.23,183150875840
"144","071970","STX중공업","KOSPI","기계",4595,715,18.43,130341659720
"145","084870","TBH글로벌","KOSPI","섬유의복",1815,85,4.91,37855126485
"146","002710","TCC스틸","KOSPI","철강금속",4520,-15,-0.33,1.0396e+11
"147","024070","WISCOM","KOSPI","화학",3550,-125,-3.4,54408854900
"148","037270","YG PLUS","KOSPI","서비스업",5890,-10,-0.17,373426589000
"149","000500","가온전선","KOSPI","전기전자",27300,-2500,-8.39,113577473100
"150","000860","강남제비스코","KOSPI","화학",25750,250,0.98,1.67375e+11
"151","035250","강원랜드","KOSPI","서비스업",26200,-100,-0.38,5605241100000
"152","011420","갤럭시아에스엠","KOSPI","서비스업",1660,40,2.47,45732409040
"153","002100","경농","KOSPI","화학",13750,100,0.73,298261562500
"154","009450","경동나비엔","KOSPI","전기전자",51000,-300,-0.58,693841230000
"155","267290","경동도시가스","KOSPI","전기가스업",19300,0,0,113781335800
"156","012320","경동인베스트","KOSPI","기타금융",37500,1400,3.88,88688362500
"157","000050","경방","KOSPI","유통업",13000,-150,-1.14,356398510000
"158","214390","경보제약","KOSPI","의약품",12150,500,4.29,290468349000
"159","012610","경인양행","KOSPI","화학",6750,-90,-1.32,279695463750
"160","009140","경인전자","KOSPI","전기전자",28000,50,0.18,43982316000
"161","013580","계룡건설","KOSPI","건설업",31600,600,1.94,282216661200
"162","012200","계양전기","KOSPI","기계",4345,0,0,1.41647e+11
"163","012205","계양전기우","KOSPI","기계",6980,100,1.45,9.772e+09
"164","002140","고려산업","KOSPI","음식료품",4185,-35,-0.83,104371493625
"165","010130","고려아연","KOSPI","철강금속",405500,4500,1.12,7.651785e+12
"166","002240","고려제강","KOSPI","철강금속",17950,300,1.7,4.1285e+11
"167","009290","광동제약","KOSPI","의약품",8450,40,0.48,442956190950
"168","017040","광명전기","KOSPI","전기전자",2450,-35,-1.41,106177156750
"169","017900","광전자","KOSPI","전기전자",2310,-10,-0.43,133850092530
"170","037710","광주신세계","KOSPI","유통업",164000,1000,0.61,2.624e+11
"171","030610","교보증권","KOSPI","증권",7530,0,0,486839318880
"172","339770","교촌에프앤비","KOSPI","유통업",17900,250,1.42,447187466000
"173","007690","국도화학","KOSPI","화학",65500,1500,2.34,380595348000
"174","005320","국동","KOSPI","유통업",4555,15,0.33,192915245770
"175","001140","국보","KOSPI","운수창고업",2400,5,0.21,122003666400
"176","002720","국제약품","KOSPI","의약품",7710,-110,-1.41,148618653900
"177","083420","그린케미칼","KOSPI","화학",13250,-150,-1.12,3.18e+11
"178","014530","극동유화","KOSPI","화학",5240,-50,-0.95,182715760800
"179","014280","금강공업","KOSPI","철강금속",5850,130,2.27,169775851050
"180","014285","금강공업우","KOSPI","철강금속",12300,400,3.36,7255462500
"181","008870","금비","KOSPI","비금속광물",66800,0,0,6.68e+10
"182","001570","금양","KOSPI","화학",4515,55,1.23,215885230680
"183","002990","금호산업","KOSPI","건설업",9640,370,3.99,353151027360
"184","002995","금호산업우","KOSPI","건설업",30900,300,0.98,9031019400
"185","011780","금호석유","KOSPI","화학",239000,13500,5.99,7281778149000
